5分钟窗口起始时间,合并金额(元)
2026-03-01 21:00:00,0.014425
2026-03-01 22:00:00,0.016962
2026-03-14 20:00:00,0.012613
2026-03-15 03:45:00,0.581563
2026-03-15 03:50:00,1.192894
2026-03-15 03:55:00,2.156732
2026-03-15 04:00:00,0.109697
2026-03-15 04:05:00,0.240100
2026-03-15 04:10:00,0.413490
2026-03-15 04:15:00,0.072877
2026-03-15 04:20:00,0.759508
2026-03-15 04:25:00,4.064518
2026-03-15 05:05:00,0.162108
2026-03-15 05:10:00,6.273400
2026-03-15 05:15:00,0.994568
2026-03-15 05:25:00,9.058148
2026-03-15 05:35:00,2.370368
2026-03-15 05:45:00,2.638380
2026-03-15 05:50:00,3.075512
2026-03-15 05:55:00,2.961952
2026-03-15 06:00:00,3.092037
2026-03-15 06:05:00,3.173256
2026-03-15 06:10:00,2.533716
2026-03-15 06:15:00,0.366540
2026-03-15 06:20:00,1.601028
2026-03-15 06:25:00,4.899212
2026-03-15 06:30:00,4.647884
2026-03-15 07:30:00,0.392584
2026-03-15 07:35:00,4.095480
2026-03-15 07:40:00,5.056668
2026-03-15 09:15:00,0.443928
2026-03-15 09:20:00,1.353108
2026-03-15 09:25:00,0.467620
2026-03-15 09:30:00,0.959700
2026-03-15 09:35:00,0.497640
2026-03-15 09:40:00,1.003696
2026-03-15 17:05:00,1.521172
2026-03-16 08:00:00,0.636409
2026-03-16 08:05:00,0.268712
2026-03-16 08:10:00,1.107527
2026-03-16 09:00:00,0.981938
2026-03-16 09:05:00,4.570448
2026-03-16 09:10:00,4.207956
2026-03-16 09:15:00,1.499656
2026-03-16 09:20:00,0.259612
2026-03-17 02:45:00,1.079088
2026-03-17 02:50:00,4.199814
2026-03-17 02:55:00,1.196128
2026-03-17 03:05:00,5.702924
2026-03-17 03:10:00,8.388264
2026-03-17 03:15:00,5.595800
2026-03-17 04:00:00,0.047198
2026-03-17 04:10:00,0.011530
2026-03-17 04:15:00,0.019632
